Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination
1102023965,"Pearson, Randall",1984-09-05,Male,US Citizen,White,MA,02747,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,41,Employee Referral,Voluntarily Terminated,2018-12-01,2020-05-01,Performance
1108027853,"Petrowsky, Thelma",1984-09-16,Female,US Citizen,Asian,MA,01886,Married,IT/IS,Simon Roup,Database Administrator,5,Exceptional,42.75,Employee Referral,Active,2018-11-10,,N/A
1407068885,"Roby, Lori",1981-10-11,Female,US Citizen,White,MA,01886,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,39.55,Employee Referral,Active,2019-02-16,,N/A
1203032255,"Rogers, Ivan",1986-08-26,Male,US Citizen,White,MA,01810,Married,IT/IS,Simon Roup,Database Administrator,0,N/A,42.2,Pay Per Click - Google,Active,2019-03-30,,N/A
1111030148,"Salter, Jason",1987-12-17,Male,US Citizen,African American,MA,02452,Divorced,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,45,Vendor Referral,Voluntarily Terminated,2019-01-05,2019-10-31,Working Hours
0808010278,"Simard, Kramer",1970-02-08,Male,US Citizen,White,MA,02110,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,30.2,Employee Referral,Active,2019-01-05,,N/A
1110029732,"Zhou, Julia",1979-02-24,Female,US Citizen,White,MA,02148,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,31.4,Employee Referral,Active,2019-03-30,,N/A
1192991000,"Foss, Jason",1980-07-05,Male,US Citizen,African American,MA,01460,Single,IT/IS,Jennifer Zamora,IT Director,5,Exceptional,65,Professional Society,Active,2015-04-15,,N/A
1106026933,"Roup,Simon",1973-04-05,Male,US Citizen,White,MA,02481,Single,IT/IS,Jennifer Zamora,IT Manager - DB,3,Fully Meets,62,Professional Society,Active,2017-01-20,,N/A
1001175250,"Ruiz, Ricardo",1964-01-04,Male,US Citizen,Hispanic,MA,01915,Divorced,IT/IS,Jennifer Zamora,IT Manager - DB,3,Fully Meets,21,Diversity Job Fair,Voluntarily Terminated,2016-01-09,2019-11-04,Working Hours
1011022863,"Monroe, Peter",1986-10-05,Male,Eligible NonCitizen,Hispanic,MA,02134,Married,IT/IS,Jennifer Zamora,IT Manager - Infra,2,Needs Improvement,63,Diversity Job Fair,Active,2016-02-15,,N/A
1101023754,"Dougall, Eric",1970-07-09,Male,US Citizen,White,MA,01886,Single,IT/IS,Jennifer Zamora,IT Manager - Support,4,Exceeds,64,Professional Society,Active,2018-01-05,,N/A
1301052902,"Clayton, Rick",1985-09-05,Male,US Citizen,White,MA,02170,Single,IT/IS,Eric Dougall,IT Support,3,Fully Meets,28.99,Glassdoor,Active,2016-09-05,,N/A
1501072093,"Galia, Lisa",1968-07-06,Female,US Citizen,White,CT,06040,Single,IT/IS,Eric Dougall,IT Support,3,Fully Meets,31.4,Vendor Referral,Active,2014-05-01,,N/A
0602000312,"Lindsay, Leonara",1988-10-05,Female,US Citizen,Hispanic,CT,06070,Single,IT/IS,Eric Dougall,IT Support,4,Exceeds,26,Diversity Job Fair,Active,2015-01-21,,N/A
1203032263,"Soto, Julia",1973-03-12,Female,US Citizen,African American,MA,02360,Married,IT/IS,Eric Dougall,IT Support,3,Fully Meets,27.49,Information Session,Active,2015-06-10,,N/A
1212052023,"Bacong, Alejandro",1988-01-07,Male,US Citizen,White,MA,01886,Divorced,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,45,Glassdoor,Active,2019-01-05,,N/A
1102024173,"Cisco, Anthony",1989-11-24,Male,US Citizen,White,MA,02135,Married,IT/IS,Peter Monroe,Network Engineer,0,N/A,42,Information Session,Active,2019-03-30,,N/A
1101023540,"Dolan, Linda",1988-07-18,Female,US Citizen,White,MA,02119,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,37,Employee Referral,Active,2019-01-05,,N/A
1988299991,"Gonzalez, Maria",1981-04-16,Female,US Citizen,White,MA,02472,Separated,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,39,Employee Referral,Active,2019-01-05,,N/A
1012023013,"Merlos, Carlos",1987-06-18,Male,US Citizen,White,MA,02138,Single,IT/IS,Peter Monroe,Network Engineer,0,N/A,43,Vendor Referral,Active,2019-03-30,,N/A
1001956578,"Morway, Tanya",1979-04-04,Female,US Citizen,White,MA,02048,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,27,Monster.com,Active,2019-02-16,,N/A
0906014183,"Shepard, Anita",1981-04-14,Female,US Citizen,White,MA,01773,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,47,Vendor Referral,Active,2018-09-30,,N/A
1104025466,"Tredinnick, Neville",1988-05-05,Male,US Citizen,White,MA,01420,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,28,Monster.com,Voluntarily Terminated,2019-01-05,2019-05-12,Medical Issues
1411071506,"Turpin, Jumil",1969-03-31,Male,Eligible NonCitizen,White,MA,02343,Married,IT/IS,Peter Monroe,Network Engineer,0,N/A,49.1,Employee Referral,Active,2019-03-30,,N/A
1307060199,"Ait Sidi, Karthikeyan",1975-05-05,Male,US Citizen,White,MA,02148,Married,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,62,Company Intranet - Partner,Voluntarily Terminated,2019-03-30,2020-06-16,Another Position / Career Change
1010022337,"Carr, Claudia  N",1986-06-06,Female,US Citizen,African American,MA,01886,Single,IT/IS,Simon Roup,Sr. DBA,0,N/A,61.3,Vendor Referral,Active,2020-06-30,,N/A
1412071562,"Favis, Donald",1964-07-30,Male,US Citizen,African American,CT,06033,Single,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,58.2,Vendor Referral,Terminated for Cause,2018-02-17,2020-02-19,Working Hours
1111030266,"Roehrich, Bianca",1973-05-27,Female,US Citizen,White,MA,02703,Single,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,58.5,Vendor Referral,Voluntarily Terminated,2019-01-05,2019-11-10,Another Position / Career Change
1411071312,"Daniele, Ann",1952-01-18,Female,US Citizen,White,CT,06033,Married,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,54.1,Vendor Referral,Leave of Absence,2018-11-10,,N/A
1108028108,"Lajiri,  Jyoti",1986-04-23,Male,US Citizen,White,MA,02169,Married,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,56.2,Employee Referral,Leave of Absence,2018-11-10,,N/A
0904013591,"Semizoglou, Jeremiah",1983-02-09,Male,US Citizen,Asian,MA,01545,Married,IT/IS,Peter Monroe,Sr. Network Engineer,0,N/A,53.8,On-campus Recruiting,Active,2020-06-30,,N/A
1308060959,"South, Joe",1965-09-09,Male,US Citizen,White,CT,06278,Single,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,53,Employee Referral,Active,2018-11-10,,N/A
1301052347,"Warfield, Sarah",1978-05-02,Female,US Citizen,Asian,MA,02453,Widowed,IT/IS,Peter Monroe,Sr. Network Engineer,0,N/A,55.2,Employee Referral,Active,2019-03-30,,N/A
1006020066,"Bramante, Elisa",1983-03-19,Female,US Citizen,African American,MA,02030,Single,Production,Janet King,Director of Operations,4,Exceeds,60,Other,Active,2013-01-05,,N/A
1501072311,"Albert, Michael",1968-10-10,Male,US Citizen,White,MA,02169,Divorced,Production,Janet King,Production Manager,3,Fully Meets,54.5,Employee Referral,Active,2015-08-01,,N/A
1303054580,"Bozzi, Charles",1970-03-10,Male,US Citizen,Asian,MA,01901,Single,Production,Janet King,Production Manager,3,Fully Meets,50.5,Billboard,Voluntarily Terminated,2017-09-30,2018-08-07,Retire
1110029990,"Butler, Webster  L",1983-08-09,Male,US Citizen,White,MA,02169,Single,Production,Janet King,Production Manager,4,Exceeds,55,Pay Per Click - Google,Active,2020-01-28,,N/A
1409070147,"Dunn, Amy",1973-11-28,Female,US Citizen,White,MA,01731,Single,Production,Janet King,Production Manager,3,Fully Meets,51,Search Engine - Google Bing Yahoo,Active,2018-09-18,,N/A
1307060077,"Gray, Elijiah",1981-07-11,Male,US Citizen,White,MA,01752,Divorced,Production,Janet King,Production Manager,3,Fully Meets,54,Employee Referral,Active,2019-06-02,,N/A
1001944783,"Hogland, Jonathan",1972-07-01,Male,US Citizen,White,MA,01890,Married,Production,Janet King,Production Manager,3,Fully Meets,48.5,Employee Referral,Terminated for Cause,2015-01-10,2019-12-12,Attitude
1403065874,"Immediato, Walter",1976-11-15,Male,US Citizen,Asian,MA,02128,Married,Production,Janet King,Production Manager,2,Needs Improvement,42,Other,Voluntarily Terminated,2015-02-21,2016-09-24,Unhappy
1103024679,"Liebig, Ketsia",1981-10-26,Female,US Citizen,White,MA,02110,Married,Production,Janet King,Production Manager,4,Exceeds,55,Website Banner Ads,Active,2017-09-30,,N/A
1107027351,"Miller, Brannon",1981-08-10,Male,US Citizen,Hispanic,MA,02045,Single,Production,Janet King,Production Manager,3,Fully Meets,53,Internet Search,Active,2016-08-16,,N/A
1402065355,"Peterson, Ebonee",1977-05-09,Female,US Citizen,White,MA,02030,Married,Production,Janet King,Production Manager,3,Fully Meets,38.5,Internet Search,Voluntarily Terminated,2014-10-25,2020-05-18,Another Position / Career Change
1102024149,"Spirea, Kelley",1975-09-30,Female,US Citizen,White,MA,02451,Married,Production,Janet King,Production Manager,3,Fully Meets,52,Vendor Referral,Active,2016-10-02,,N/A
1000974650,"Stanley, David",1975-12-17,Male,US Citizen,White,MA,01803,Divorced,Production,Janet King,Production Manager,2,Needs Improvement,53,Monster.com,Active,2014-07-20,,N/A
1405067298,"Sullivan, Kissy",1978-03-28,Female,US Citizen,African American,MA,01776,Married,Production,Janet King,Production Manager,3,Fully Meets,55,Billboard,Active,2013-01-08,,N/A
1410071026,"Wallace, Courtney  E",1955-11-14,Female,US Citizen,African American,MA,02478,Married,Production,Janet King,Production Manager,3,Fully Meets,33.5,Diversity Job Fair,Voluntarily Terminated,2015-09-26,2016-01-02,Another Position / Career Change
1409070522,"Adinolfi, Wilson  K",1983-07-10,Male,US Citizen,White,MA,01960,Single,Production,Michael Albert,Production Technician I,4,Exceeds,20,MBTA ads,Active,2015-07-05,,N/A
1011022883,"Alagbe,Trina",1988-09-27,Female,US Citizen,White,MA,01886,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Billboard,Active,2012-01-07,,N/A
1001417624,"Anderson, Carol",1989-09-08,Female,US Citizen,White,MA,02169,Divorced,Production,Webster Butler,Production Technician I,0,N/A,16,Word of Mouth,Voluntarily Terminated,2015-07-11,2015-09-06,Return to School
1304055947,"Anderson, Linda",1977-05-22,Female,US Citizen,White,MA,01844,Single,Production,Amy Dunn,Production Technician I,5,Exceptional,23,MBTA ads,Active,2016-01-09,,N/A
1301052124,"Athwal, Sam",1983-02-18,Male,US Citizen,White,MA,02199,Widowed,Production,Ketsia Liebig,Production Technician I,0,N/A,22,Employee Referral,Active,2017-09-30,,N/A
1212051409,"Bachiochi, Linda",1970-02-11,Female,US Citizen,Hispanic,MA,01902,Single,Production,Brannon Miller,Production Technician I,3,Fully Meets,22,Diversity Job Fair,Leave of Absence,2013-07-06,,N/A
1307060083,"Baczenski, Rachael",1974-01-12,Female,US Citizen,Hispanic,MA,01902,Married,Production,David Stanley,Production Technician I,0,N/A,17,Diversity Job Fair,Voluntarily Terminated,2015-01-10,2015-01-12,Another Position / Career Change
1312063507,"Barbara, Thomas",1974-02-21,Male,US Citizen,Asian,MA,02062,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,22,Diversity Job Fair,Voluntarily Terminated,2016-04-02,2016-09-19,Unhappy
1101023679,"Barone, Francesco  A",1983-07-20,Male,US Citizen,Hispanic,MA,01810,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,16.76,Social Networks - Facebook Twitter etc,Active,2016-02-20,,N/A
1212051962,"Barton, Nader",1977-07-15,Male,US Citizen,White,MA,02747,Divorced,Production,Michael Albert,Production Technician I,3,Fully Meets,18,On-line Web application,Voluntarily Terminated,2016-09-24,2017-04-06,Another Position / Career Change
1403066194,"Beatrice, Courtney",1970-10-27,Female,Eligible NonCitizen,White,MA,01915,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,22,Search Engine - Google Bing Yahoo,Active,2015-04-04,,N/A
1110029777,"Becker, Scott",1979-04-06,Male,US Citizen,Asian,MA,02452,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,17,MBTA ads,Leave of Absence,2017-07-08,,N/A
1109029366,"Bernstein, Sean",1970-12-22,Male,US Citizen,White,MA,02072,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,16,Word of Mouth,Active,2016-04-02,,N/A
1412071844,"Biden, Lowan  M",1958-12-27,Female,US Citizen,Asian,MA,02027,Divorced,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,22,Billboard,Active,2017-08-19,,N/A
1308060366,"Billis, Helen",1989-09-01,Female,US Citizen,White,MA,02031,Married,Production,Brannon Miller,Production Technician I,4,Exceeds,16,Professional Society,Active,2018-07-07,,N/A
1406068293,"Brill, Donna",1990-08-24,Female,US Citizen,White,MA,01701,Married,Production,David Stanley,Production Technician I,3,Fully Meets,20,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2016-04-02,2017-06-15,Another Position / Career Change
1408069635,"Bugali, Josephine",1969-10-30,Female,US Citizen,African American,MA,02043,Separated,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,20,Diversity Job Fair,Leave of Absence,2017-11-11,,N/A
1311063114,"Carey, Michael",1983-02-02,Male,US Citizen,African American,MA,01701,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,20,MBTA ads,Active,2018-03-31,,N/A
1208048062,"Chace, Beatrice",1951-01-02,Female,US Citizen,White,MA,02763,Single,Production,Michael Albert,Production Technician I,3,Fully Meets,16,Search Engine - Google Bing Yahoo,Active,2018-09-29,,N/A
1305057282,"Chan, Lin",1979-02-12,Female,US Citizen,White,MA,02170,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,19.5,Internet Search,Active,2018-05-12,,N/A
1111030129,"Chang, Donovan  E",1983-08-24,Male,US Citizen,White,MA,01845,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,22,Newspager/Magazine,Active,2017-07-08,,N/A
1101023394,"Chivukula, Enola",1983-08-27,Female,US Citizen,White,MA,01775,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,21,Other,Voluntarily Terminated,2015-06-27,2019-11-15,Relocation out of Area
1012023295,"Cierpiszewski, Caroline",1988-05-31,Female,Non-Citizen,African American,MA,02044,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,22,Pay Per Click - Google,Active,2015-10-03,,N/A
1407069280,"Clukey, Elijian",1980-08-26,Male,US Citizen,White,MA,02134,Married,Production,Brannon Miller,Production Technician I,4,Exceeds,24.75,Employee Referral,Active,2020-07-06,,N/A
1599991009,"Cockel, James",1977-09-08,Male,US Citizen,White,MA,02452,Single,Production,David Stanley,Production Technician I,3,Fully Meets,15,Employee Referral,Active,2017-07-08,,N/A
1001450968,"Cole, Spencer",1979-08-12,Male,US Citizen,African American,MA,01880,Single,Production,Kissy Sullivan,Production Technician I,2,Needs Improvement,15,MBTA ads,Terminated for Cause,2015-07-11,2016-09-23,Performance
1403066069,"Cornett, Lisa",1977-03-31,Female,US Citizen,White,MA,02189,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,15.75,Billboard,Active,2019-01-05,,N/A
1311063172,"Crimmings,   Jean",1987-04-10,Female,US Citizen,White,MA,01821,Single,Production,Michael Albert,Production Technician I,0,N/A,19.75,Newspager/Magazine,Active,2020-07-06,,N/A
1001109612,"Darson, Jene'ya",1978-11-05,Female,US Citizen,White,MA,02110,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,15,Billboard,Active,2016-07-02,,N/A
1306058816,"DeGweck,  James",1977-10-31,Male,US Citizen,White,MA,01810,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,23.5,Billboard,Voluntarily Terminated,2015-05-16,2019-06-08,Unhappy
1501072124,"Desimone, Carl",1967-04-19,Male,US Citizen,White,MA,02061,Married,Production,Amy Dunn,Production Technician I,1,Performance Improvement Plan,20,Professional Society,Active,2018-07-07,,N/A
0706006285,"Dickinson, Geoff",1982-11-15,Male,US Citizen,White,MA,02180,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,21,Pay Per Click - Google,Active,2018-05-12,,N/A
1209048696,"DiNocco, Lily",1978-12-02,Female,US Citizen,African American,MA,02351,Married,Production,Brannon Miller,Production Technician I,2,Needs Improvement,22,Pay Per Click - Google,Active,2017-01-07,,N/A
1202031618,"Dobrin, Denisa  S",1986-10-07,Female,US Citizen,White,MA,02125,Single,Production,David Stanley,Production Technician I,3,Fully Meets,16.75,Monster.com,Active,2016-04-02,,N/A
1406067865,"Eaton, Marianne",1991-09-05,Female,US Citizen,White,MA,02343,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,17,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-04-04,2017-06-06,Military
1007020403,"Engdahl, Jean",1974-05-31,Male,US Citizen,White,MA,02026,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,21.25,MBTA ads,Active,2018-11-10,,N/A
1101023612,"England, Rex",1978-08-25,Male,US Citizen,White,MA,02045,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,21,Employee Referral,Active,2018-03-31,,N/A
1104025243,"Estremera, Miguel",1983-09-02,Male,US Citizen,White,MA,02129,Single,Production,Michael Albert,Production Technician I,2,Needs Improvement,17,Word of Mouth,Terminated for Cause,2016-04-02,2018-09-27,Attitude
1107027392,"Evensen, April",1989-05-06,Female,US Citizen,White,MA,02458,Single,Production,Elijiah Gray,Production Technician I,0,N/A,18,Word of Mouth,Terminated for Cause,2018-02-17,2018-02-25,Gross Misconduct
1502072511,"Ferguson, Susan",1955-04-14,Female,US Citizen,White,MA,02176,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,20,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015-11-07,2018-05-17,Military
1302053339,"Fernandes, Nilson",1989-10-18,Male,US Citizen,White,MA,02132,Married,Production,Amy Dunn,Production Technician I,0,N/A,18,Professional Society,Active,2019-05-11,,N/A
0803009012,"Ferreira, Violeta",1986-06-10,Female,US Citizen,White,MA,02176,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,23,Newspager/Magazine,Active,2016-02-20,,N/A
1006020020,"Fidelia,  Libby",1981-03-16,Female,US Citizen,White,MA,02155,Married,Production,Brannon Miller,Production Technician I,3,Fully Meets,24,Social Networks - Facebook Twitter etc,Active,2016-01-09,,N/A
1309061015,"Garcia, Raul",1985-09-15,Male,US Citizen,White,MA,01905,Single,Production,David Stanley,Production Technician I,0,N/A,19,Employee Referral,Active,2019-03-30,,N/A
1104025414,"Garneau, Hamish",1980-04-18,Male,US Citizen,Asian,MA,01550,Single,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,18,Professional Society,Active,2017-07-08,,N/A
1105026041,"Gaul, Barbara",1983-12-02,Female,US Citizen,African American,MA,02121,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,24,MBTA ads,Active,2015-05-16,,N/A
1501072192,"Gentry, Mildred",1990-10-01,Female,US Citizen,African American,MA,02145,Married,Production,Michael Albert,Production Technician I,0,N/A,19,Professional Society,Active,2019-03-30,,N/A
1308060622,"Gerke, Melisa",1970-05-15,Female,US Citizen,White,MA,02330,Divorced,Production,Elijiah Gray,Production Technician I,0,N/A,22,Diversity Job Fair,Voluntarily Terminated,2015-11-07,2015-11-15,Working Hours
1008020960,"Gilles, Alex",1974-08-09,Male,US Citizen,African American,MA,02062,Married,Production,Webster Butler,Production Technician I,2,Needs Improvement,15,Diversity Job Fair,Voluntarily Terminated,2016-04-02,2019-06-25,Military
1204032927,"Girifalco, Evelyn",1980-05-08,Female,US Citizen,Hispanic,MA,02451,Single,Production,Amy Dunn,Production Technician I,4,Exceeds,16,Professional Society,Active,2018-09-29,,N/A
1408069539,"Gold, Shenice",1992-06-18,Female,US Citizen,White,MA,02451,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,17,Glassdoor,Active,2017-11-11,,N/A
1411071212,"Gonzalez, Cayo",1969-09-29,Male,US Citizen,Hispanic,MA,02108,Divorced,Production,Brannon Miller,Production Technician I,4,Exceeds,16,Diversity Job Fair,Active,2015-07-11,,N/A
1106026579,"Gordon, David",1979-05-21,Male,US Citizen,White,MA,02169,Married,Production,David Stanley,Production Technician I,3,Fully Meets,15,MBTA ads,Active,2016-07-02,,N/A
1312063675,"Goyal, Roxana",1974-10-09,Female,US Citizen,Asian,MA,01864,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,24,On-campus Recruiting,Leave of Absence,2017-08-19,,N/A
1103024859,"Gross, Paula",1983-05-21,Female,US Citizen,White,MA,02176,Divorced,Production,Kelley Spirea,Production Technician I,3,Fully Meets,14,Monster.com,Voluntarily Terminated,2015-02-21,2018-01-11,More Money
1405067064,"Handschiegl, Joanne",1977-03-23,Female,US Citizen,White,MA,02127,Married,Production,Michael Albert,Production Technician I,3,Fully Meets,24,Word of Mouth,Active,2015-11-28,,N/A
1406068241,"Harrell, Ludwick",1982-09-02,Male,US Citizen,Asian,MA,01776,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Search Engine - Google Bing Yahoo,Active,2016-05-14,,N/A
1110029602,"Harrington, Christie",1952-08-18,Female,US Citizen,White,MA,02324,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,19.75,Monster.com,Voluntarily Terminated,2016-01-09,2019-12-15,Retire
1404066622,"Harrison, Kara",1974-05-02,Female,US Citizen,White,MA,01886,Married,Production,Amy Dunn,Production Technician I,4,Exceeds,20,Monster.com,Active,2018-05-12,,N/A
1002017900,"Heitzman, Anthony",1984-01-04,Male,US Citizen,White,MA,02149,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,19,Social Networks - Facebook Twitter etc,Active,2016-08-13,,N/A
1408069882,"Ivey, Rose",1991-01-28,Female,US Citizen,White,MA,01775,Single,Production,Brannon Miller,Production Technician I,3,Fully Meets,16,Professional Society,Active,2017-08-19,,N/A
1201031438,"Jackson, Maryellen",1972-09-11,Female,US Citizen,White,MA,02081,Single,Production,David Stanley,Production Technician I,3,Fully Meets,20,Newspager/Magazine,Active,2016-11-05,,N/A
1503072857,"Jacobi, Hannah",1966-03-22,Female,US Citizen,White,MA,01778,Divorced,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,21,Employee Referral,Active,2017-09-30,,N/A
1412071713,"Jhaveri, Sneha",1964-04-13,Female,US Citizen,White,MA,02109,Separated,Production,Kelley Spirea,Production Technician I,3,Fully Meets,19,On-campus Recruiting,Active,2018-01-06,,N/A
1105025721,"Johnson, George",1959-08-19,Male,US Citizen,White,MA,02445,Married,Production,Michael Albert,Production Technician I,4,Exceeds,17,Monster.com,Voluntarily Terminated,2015-11-07,2020-04-29,More Money
1107027450,"Jung, Judy",1986-04-17,Female,US Citizen,White,MA,02446,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Monster.com,Voluntarily Terminated,2015-01-10,2020-04-01,Unhappy
1301052462,"Keatts, Kramer",1976-01-19,Male,US Citizen,White,MA,01887,Single,Production,Michael Albert,Production Technician I,3,Fully Meets,19,Billboard,Active,2017-09-30,,N/A
