Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination,age,worked
905013738,"Goble, Taisha",1971.10.23,Female,US Citizen,White,MA,2127,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,48.5,Glassdoor,Terminated for Cause,2019.2.16,2019.3.15,Gross Misconduct,50,0
1410071156,"Hernandez, Daniff",1986.8.7,Male,US Citizen,African American,MA,1960,Married,IT/IS,Simon Roup,Database Administrator,0,N/A,40.1,Employee Referral,Terminated for Cause,2019.2.16,2019.2.22,Gross Misconduct,35,0
1105025718,"Horton, Jayne",1984.2.21,Female,US Citizen,White,MA,2493,Single,IT/IS,Simon Roup,Database Administrator,0,N/A,34,Glassdoor,Active,2019.3.30,,N/A,37,2
1003018246,"Johnson, Noelle",1986.11.7,Female,US Citizen,Asian,MA,2301,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,40,Glassdoor,Leave of Absence,2019.1.5,,N/A,35,2
1406068403,"Murray, Thomas",1988.7.4,Male,US Citizen,African American,TX,78230,Divorced,IT/IS,Simon Roup,Database Administrator,5,Exceptional,35.5,Diversity Job Fair,Active,2018.11.10,,N/A,33,3
1102023965,"Pearson, Randall",1984.9.5,Male,US Citizen,White,MA,2747,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,41,Employee Referral,Voluntarily Terminated,2018.12.1,2020.5.1,Performance,37,2
1108027853,"Petrowsky, Thelma",1984.9.16,Female,US Citizen,Asian,MA,1886,Married,IT/IS,Simon Roup,Database Administrator,5,Exceptional,42.75,Employee Referral,Active,2018.11.10,,N/A,37,3
1407068885,"Roby, Lori",1981.10.11,Female,US Citizen,White,MA,1886,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,39.55,Employee Referral,Active,2019.2.16,,N/A,40,2
1203032255,"Rogers, Ivan",1986.8.26,Male,US Citizen,White,MA,1810,Married,IT/IS,Simon Roup,Database Administrator,0,N/A,42.2,Pay Per Click - Google,Active,2019.3.30,,N/A,35,2
1111030148,"Salter, Jason",1987.12.17,Male,US Citizen,African American,MA,2452,Divorced,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,45,Vendor Referral,Voluntarily Terminated,2019.1.5,2019.10.31,Working Hours,34,0
808010278,"Simard, Kramer",1970.2.8,Male,US Citizen,White,MA,2110,Married,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,30.2,Employee Referral,Active,2019.1.5,,N/A,51,2
1110029732,"Zhou, Julia",1979.2.24,Female,US Citizen,White,MA,2148,Single,IT/IS,Simon Roup,Database Administrator,3,Fully Meets,31.4,Employee Referral,Active,2019.3.30,,N/A,42,2
1192991000,"Foss, Jason",1980.7.5,Male,US Citizen,African American,MA,1460,Single,IT/IS,Jennifer Zamora,IT Director,5,Exceptional,65,Professional Society,Active,2015.4.15,,N/A,41,6
1106026933,"Roup,Simon",1973.4.5,Male,US Citizen,White,MA,2481,Single,IT/IS,Jennifer Zamora,IT Manager - DB,3,Fully Meets,62,Professional Society,Active,2017.1.20,,N/A,48,4
1001175250,"Ruiz, Ricardo",1964.1.4,Male,US Citizen,Hispanic,MA,1915,Divorced,IT/IS,Jennifer Zamora,IT Manager - DB,3,Fully Meets,21,Diversity Job Fair,Voluntarily Terminated,2016.1.9,2019.11.4,Working Hours,57,3
1011022863,"Monroe, Peter",1986.10.5,Male,Eligible NonCitizen,Hispanic,MA,2134,Married,IT/IS,Jennifer Zamora,IT Manager - Infra,2,Needs Improvement,63,Diversity Job Fair,Active,2016.2.15,,N/A,35,5
1101023754,"Dougall, Eric",1970.7.9,Male,US Citizen,White,MA,1886,Single,IT/IS,Jennifer Zamora,IT Manager - Support,4,Exceeds,64,Professional Society,Active,2018.1.5,,N/A,51,3
1301052902,"Clayton, Rick",1985.9.5,Male,US Citizen,White,MA,2170,Single,IT/IS,Eric Dougall,IT Support,3,Fully Meets,28.99,Glassdoor,Active,2016.9.5,,N/A,36,5
1501072093,"Galia, Lisa",1968.7.6,Female,US Citizen,White,CT,6040,Single,IT/IS,Eric Dougall,IT Support,3,Fully Meets,31.4,Vendor Referral,Active,2014.5.1,,N/A,53,7
602000312,"Lindsay, Leonara",1988.10.5,Female,US Citizen,Hispanic,CT,6070,Single,IT/IS,Eric Dougall,IT Support,4,Exceeds,26,Diversity Job Fair,Active,2015.1.21,,N/A,33,6
1203032263,"Soto, Julia",1973.3.12,Female,US Citizen,African American,MA,2360,Married,IT/IS,Eric Dougall,IT Support,3,Fully Meets,27.49,Information Session,Active,2015.6.10,,N/A,48,6
1212052023,"Bacong, Alejandro",1988.1.7,Male,US Citizen,White,MA,1886,Divorced,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,45,Glassdoor,Active,2019.1.5,,N/A,33,2
1102024173,"Cisco, Anthony",1989.11.24,Male,US Citizen,White,MA,2135,Married,IT/IS,Peter Monroe,Network Engineer,0,N/A,42,Information Session,Active,2019.3.30,,N/A,32,2
1101023540,"Dolan, Linda",1988.7.18,Female,US Citizen,White,MA,2119,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,37,Employee Referral,Active,2019.1.5,,N/A,33,2
1988299991,"Gonzalez, Maria",1981.4.16,Female,US Citizen,White,MA,2472,Separated,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,39,Employee Referral,Active,2019.1.5,,N/A,40,2
1012023013,"Merlos, Carlos",1987.6.18,Male,US Citizen,White,MA,2138,Single,IT/IS,Peter Monroe,Network Engineer,0,N/A,43,Vendor Referral,Active,2019.3.30,,N/A,34,2
1001956578,"Morway, Tanya",1979.4.4,Female,US Citizen,White,MA,2048,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,27,Monster.com,Active,2019.2.16,,N/A,42,2
906014183,"Shepard, Anita",1981.4.14,Female,US Citizen,White,MA,1773,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,47,Vendor Referral,Active,2018.9.30,,N/A,40,3
1104025466,"Tredinnick, Neville",1988.5.5,Male,US Citizen,White,MA,1420,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,28,Monster.com,Voluntarily Terminated,2019.1.5,2019.5.12,Medical Issues,33,0
1411071506,"Turpin, Jumil",1969.3.31,Male,Eligible NonCitizen,White,MA,2343,Married,IT/IS,Peter Monroe,Network Engineer,0,N/A,49.1,Employee Referral,Active,2019.3.30,,N/A,52,2
1307060199,"Ait Sidi, Karthikeyan",1975.5.5,Male,US Citizen,White,MA,2148,Married,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,62,Company Intranet - Partner,Voluntarily Terminated,2019.3.30,2020.6.16,Another Position / Career Change,46,1
1010022337,"Carr, Claudia  N",1986.6.6,Female,US Citizen,African American,MA,1886,Single,IT/IS,Simon Roup,Sr. DBA,0,N/A,61.3,Vendor Referral,Active,2020.6.30,,N/A,35,1
1412071562,"Favis, Donald",1964.7.30,Male,US Citizen,African American,CT,6033,Single,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,58.2,Vendor Referral,Terminated for Cause,2018.2.17,2020.2.19,Working Hours,57,2
1111030266,"Roehrich, Bianca",1973.5.27,Female,US Citizen,White,MA,2703,Single,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,58.5,Vendor Referral,Voluntarily Terminated,2019.1.5,2019.11.10,Another Position / Career Change,48,0
1411071312,"Daniele, Ann",1952.1.18,Female,US Citizen,White,CT,6033,Married,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,54.1,Vendor Referral,Leave of Absence,2018.11.10,,N/A,69,3
1108028108,"Lajiri,  Jyoti",1986.4.23,Male,US Citizen,White,MA,2169,Married,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,56.2,Employee Referral,Leave of Absence,2018.11.10,,N/A,35,3
904013591,"Semizoglou, Jeremiah",1983.2.9,Male,US Citizen,Asian,MA,1545,Married,IT/IS,Peter Monroe,Sr. Network Engineer,0,N/A,53.8,On-campus Recruiting,Active,2020.6.30,,N/A,38,1
1308060959,"South, Joe",1965.9.9,Male,US Citizen,White,CT,6278,Single,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,53,Employee Referral,Active,2018.11.10,,N/A,56,3
1301052347,"Warfield, Sarah",1978.5.2,Female,US Citizen,Asian,MA,2453,Widowed,IT/IS,Peter Monroe,Sr. Network Engineer,0,N/A,55.2,Employee Referral,Active,2019.3.30,,N/A,43,2
1006020066,"Bramante, Elisa",1983.3.19,Female,US Citizen,African American,MA,2030,Single,Production,Janet King,Director of Operations,4,Exceeds,60,Other,Active,2013.1.5,,N/A,38,8
1501072311,"Albert, Michael",1968.10.10,Male,US Citizen,White,MA,2169,Divorced,Production,Janet King,Production Manager,3,Fully Meets,54.5,Employee Referral,Active,2015.8.1,,N/A,53,6
1303054580,"Bozzi, Charles",1970.3.10,Male,US Citizen,Asian,MA,1901,Single,Production,Janet King,Production Manager,3,Fully Meets,50.5,Billboard,Voluntarily Terminated,2017.9.30,2018.8.7,Retire,51,1
1110029990,"Butler, Webster  L",1983.8.9,Male,US Citizen,White,MA,2169,Single,Production,Janet King,Production Manager,4,Exceeds,55,Pay Per Click - Google,Active,2020.1.28,,N/A,38,1
1409070147,"Dunn, Amy",1973.11.28,Female,US Citizen,White,MA,1731,Single,Production,Janet King,Production Manager,3,Fully Meets,51,Search Engine - Google Bing Yahoo,Active,2018.9.18,,N/A,48,3
1307060077,"Gray, Elijiah",1981.7.11,Male,US Citizen,White,MA,1752,Divorced,Production,Janet King,Production Manager,3,Fully Meets,54,Employee Referral,Active,2019.6.2,,N/A,40,2
1001944783,"Hogland, Jonathan",1972.7.1,Male,US Citizen,White,MA,1890,Married,Production,Janet King,Production Manager,3,Fully Meets,48.5,Employee Referral,Terminated for Cause,2015.1.10,2019.12.12,Attitude,49,4
1403065874,"Immediato, Walter",1976.11.15,Male,US Citizen,Asian,MA,2128,Married,Production,Janet King,Production Manager,2,Needs Improvement,42,Other,Voluntarily Terminated,2015.2.21,2016.9.24,Unhappy,45,1
1103024679,"Liebig, Ketsia",1981.10.26,Female,US Citizen,White,MA,2110,Married,Production,Janet King,Production Manager,4,Exceeds,55,Website Banner Ads,Active,2017.9.30,,N/A,40,4
1107027351,"Miller, Brannon",1981.8.10,Male,US Citizen,Hispanic,MA,2045,Single,Production,Janet King,Production Manager,3,Fully Meets,53,Internet Search,Active,2016.8.16,,N/A,40,5
1402065355,"Peterson, Ebonee",1977.5.9,Female,US Citizen,White,MA,2030,Married,Production,Janet King,Production Manager,3,Fully Meets,38.5,Internet Search,Voluntarily Terminated,2014.10.25,2020.5.18,Another Position / Career Change,44,6
1102024149,"Spirea, Kelley",1975.9.30,Female,US Citizen,White,MA,2451,Married,Production,Janet King,Production Manager,3,Fully Meets,52,Vendor Referral,Active,2016.10.2,,N/A,46,5
1000974650,"Stanley, David",1975.12.17,Male,US Citizen,White,MA,1803,Divorced,Production,Janet King,Production Manager,2,Needs Improvement,53,Monster.com,Active,2014.7.20,,N/A,46,7
1405067298,"Sullivan, Kissy",1978.3.28,Female,US Citizen,African American,MA,1776,Married,Production,Janet King,Production Manager,3,Fully Meets,55,Billboard,Active,2013.1.8,,N/A,43,8
1410071026,"Wallace, Courtney  E",1955.11.14,Female,US Citizen,African American,MA,2478,Married,Production,Janet King,Production Manager,3,Fully Meets,33.5,Diversity Job Fair,Voluntarily Terminated,2015.9.26,2016.1.2,Another Position / Career Change,66,1
1409070522,"Adinolfi, Wilson  K",1983.7.10,Male,US Citizen,White,MA,1960,Single,Production,Michael Albert,Production Technician I,4,Exceeds,20,MBTA ads,Active,2015.7.5,,N/A,38,6
1011022883,"Alagbe,Trina",1988.9.27,Female,US Citizen,White,MA,1886,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Billboard,Active,2012.1.7,,N/A,33,9
1001417624,"Anderson, Carol",1989.9.8,Female,US Citizen,White,MA,2169,Divorced,Production,Webster Butler,Production Technician I,0,N/A,16,Word of Mouth,Voluntarily Terminated,2015.7.11,2015.9.6,Return to School,32,0
1304055947,"Anderson, Linda",1977.5.22,Female,US Citizen,White,MA,1844,Single,Production,Amy Dunn,Production Technician I,5,Exceptional,23,MBTA ads,Active,2016.1.9,,N/A,44,5
1301052124,"Athwal, Sam",1983.2.18,Male,US Citizen,White,MA,2199,Widowed,Production,Ketsia Liebig,Production Technician I,0,N/A,22,Employee Referral,Active,2017.9.30,,N/A,38,4
1212051409,"Bachiochi, Linda",1970.2.11,Female,US Citizen,Hispanic,MA,1902,Single,Production,Brannon Miller,Production Technician I,3,Fully Meets,22,Diversity Job Fair,Leave of Absence,2013.7.6,,N/A,51,8
1307060083,"Baczenski, Rachael",1974.1.12,Female,US Citizen,Hispanic,MA,1902,Married,Production,David Stanley,Production Technician I,0,N/A,17,Diversity Job Fair,Voluntarily Terminated,2015.1.10,2015.1.12,Another Position / Career Change,47,0
1312063507,"Barbara, Thomas",1974.2.21,Male,US Citizen,Asian,MA,2062,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,22,Diversity Job Fair,Voluntarily Terminated,2016.4.2,2016.9.19,Unhappy,47,0
1101023679,"Barone, Francesco  A",1983.7.20,Male,US Citizen,Hispanic,MA,1810,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,16.76,Social Networks - Facebook Twitter etc,Active,2016.2.20,,N/A,38,5
1212051962,"Barton, Nader",1977.7.15,Male,US Citizen,White,MA,2747,Divorced,Production,Michael Albert,Production Technician I,3,Fully Meets,18,On-line Web application,Voluntarily Terminated,2016.9.24,2017.4.6,Another Position / Career Change,44,1
1403066194,"Beatrice, Courtney",1970.10.27,Female,Eligible NonCitizen,White,MA,1915,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,22,Search Engine - Google Bing Yahoo,Active,2015.4.4,,N/A,51,6
1110029777,"Becker, Scott",1979.4.6,Male,US Citizen,Asian,MA,2452,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,17,MBTA ads,Leave of Absence,2017.7.8,,N/A,42,4
1109029366,"Bernstein, Sean",1970.12.22,Male,US Citizen,White,MA,2072,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,16,Word of Mouth,Active,2016.4.2,,N/A,51,5
1412071844,"Biden, Lowan  M",1958.12.27,Female,US Citizen,Asian,MA,2027,Divorced,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,22,Billboard,Active,2017.8.19,,N/A,63,4
1308060366,"Billis, Helen",1989.9.1,Female,US Citizen,White,MA,2031,Married,Production,Brannon Miller,Production Technician I,4,Exceeds,16,Professional Society,Active,2018.7.7,,N/A,32,3
1406068293,"Brill, Donna",1990.8.24,Female,US Citizen,White,MA,1701,Married,Production,David Stanley,Production Technician I,3,Fully Meets,20,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2016.4.2,2017.6.15,Another Position / Career Change,31,1
1408069635,"Bugali, Josephine",1969.10.30,Female,US Citizen,African American,MA,2043,Separated,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,20,Diversity Job Fair,Leave of Absence,2017.11.11,,N/A,52,4
1311063114,"Carey, Michael",1983.2.2,Male,US Citizen,African American,MA,1701,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,20,MBTA ads,Active,2018.3.31,,N/A,38,3
1208048062,"Chace, Beatrice",1951.1.2,Female,US Citizen,White,MA,2763,Single,Production,Michael Albert,Production Technician I,3,Fully Meets,16,Search Engine - Google Bing Yahoo,Active,2018.9.29,,N/A,70,3
1305057282,"Chan, Lin",1979.2.12,Female,US Citizen,White,MA,2170,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,19.5,Internet Search,Active,2018.5.12,,N/A,42,3
1111030129,"Chang, Donovan  E",1983.8.24,Male,US Citizen,White,MA,1845,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,22,Newspager/Magazine,Active,2017.7.8,,N/A,38,4
1101023394,"Chivukula, Enola",1983.8.27,Female,US Citizen,White,MA,1775,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,21,Other,Voluntarily Terminated,2015.6.27,2019.11.15,Relocation out of Area,38,4
1012023295,"Cierpiszewski, Caroline",1988.5.31,Female,Non-Citizen,African American,MA,2044,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,22,Pay Per Click - Google,Active,2015.10.3,,N/A,33,6
1407069280,"Clukey, Elijian",1980.8.26,Male,US Citizen,White,MA,2134,Married,Production,Brannon Miller,Production Technician I,4,Exceeds,24.75,Employee Referral,Active,2020.7.6,,N/A,41,1
1599991009,"Cockel, James",1977.9.8,Male,US Citizen,White,MA,2452,Single,Production,David Stanley,Production Technician I,3,Fully Meets,15,Employee Referral,Active,2017.7.8,,N/A,44,4
1001450968,"Cole, Spencer",1979.8.12,Male,US Citizen,African American,MA,1880,Single,Production,Kissy Sullivan,Production Technician I,2,Needs Improvement,15,MBTA ads,Terminated for Cause,2015.7.11,2016.9.23,Performance,42,1
1403066069,"Cornett, Lisa",1977.3.31,Female,US Citizen,White,MA,2189,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,15.75,Billboard,Active,2019.1.5,,N/A,44,2
1311063172,"Crimmings,   Jean",1987.4.10,Female,US Citizen,White,MA,1821,Single,Production,Michael Albert,Production Technician I,0,N/A,19.75,Newspager/Magazine,Active,2020.7.6,,N/A,34,1
1001109612,"Darson, Jene'ya",1978.11.5,Female,US Citizen,White,MA,2110,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,15,Billboard,Active,2016.7.2,,N/A,43,5
1306058816,"DeGweck,  James",1977.10.31,Male,US Citizen,White,MA,1810,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,23.5,Billboard,Voluntarily Terminated,2015.5.16,2019.6.8,Unhappy,44,4
1501072124,"Desimone, Carl",1967.4.19,Male,US Citizen,White,MA,2061,Married,Production,Amy Dunn,Production Technician I,1,Performance Improvement Plan,20,Professional Society,Active,2018.7.7,,N/A,54,3
706006285,"Dickinson, Geoff",1982.11.15,Male,US Citizen,White,MA,2180,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,21,Pay Per Click - Google,Active,2018.5.12,,N/A,39,3
1209048696,"DiNocco, Lily",1978.12.2,Female,US Citizen,African American,MA,2351,Married,Production,Brannon Miller,Production Technician I,2,Needs Improvement,22,Pay Per Click - Google,Active,2017.1.7,,N/A,43,4
1202031618,"Dobrin, Denisa  S",1986.10.7,Female,US Citizen,White,MA,2125,Single,Production,David Stanley,Production Technician I,3,Fully Meets,16.75,Monster.com,Active,2016.4.2,,N/A,35,5
1406067865,"Eaton, Marianne",1991.9.5,Female,US Citizen,White,MA,2343,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,17,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015.4.4,2017.6.6,Military,30,2
1007020403,"Engdahl, Jean",1974.5.31,Male,US Citizen,White,MA,2026,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,21.25,MBTA ads,Active,2018.11.10,,N/A,47,3
1101023612,"England, Rex",1978.8.25,Male,US Citizen,White,MA,2045,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,21,Employee Referral,Active,2018.3.31,,N/A,43,3
1104025243,"Estremera, Miguel",1983.9.2,Male,US Citizen,White,MA,2129,Single,Production,Michael Albert,Production Technician I,2,Needs Improvement,17,Word of Mouth,Terminated for Cause,2016.4.2,2018.9.27,Attitude,38,2
1107027392,"Evensen, April",1989.5.6,Female,US Citizen,White,MA,2458,Single,Production,Elijiah Gray,Production Technician I,0,N/A,18,Word of Mouth,Terminated for Cause,2018.2.17,2018.2.25,Gross Misconduct,32,0
1502072511,"Ferguson, Susan",1955.4.14,Female,US Citizen,White,MA,2176,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,20,Search Engine - Google Bing Yahoo,Voluntarily Terminated,2015.11.7,2018.5.17,Military,66,3
1302053339,"Fernandes, Nilson",1989.10.18,Male,US Citizen,White,MA,2132,Married,Production,Amy Dunn,Production Technician I,0,N/A,18,Professional Society,Active,2019.5.11,,N/A,32,2
803009012,"Ferreira, Violeta",1986.6.10,Female,US Citizen,White,MA,2176,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,23,Newspager/Magazine,Active,2016.2.20,,N/A,35,5
1006020020,"Fidelia,  Libby",1981.3.16,Female,US Citizen,White,MA,2155,Married,Production,Brannon Miller,Production Technician I,3,Fully Meets,24,Social Networks - Facebook Twitter etc,Active,2016.1.9,,N/A,40,5
1309061015,"Garcia, Raul",1985.9.15,Male,US Citizen,White,MA,1905,Single,Production,David Stanley,Production Technician I,0,N/A,19,Employee Referral,Active,2019.3.30,,N/A,36,2
1104025414,"Garneau, Hamish",1980.4.18,Male,US Citizen,Asian,MA,1550,Single,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,18,Professional Society,Active,2017.7.8,,N/A,41,4
1105026041,"Gaul, Barbara",1983.12.2,Female,US Citizen,African American,MA,2121,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,24,MBTA ads,Active,2015.5.16,,N/A,38,6
1501072192,"Gentry, Mildred",1990.10.1,Female,US Citizen,African American,MA,2145,Married,Production,Michael Albert,Production Technician I,0,N/A,19,Professional Society,Active,2019.3.30,,N/A,31,2
1308060622,"Gerke, Melisa",1970.5.15,Female,US Citizen,White,MA,2330,Divorced,Production,Elijiah Gray,Production Technician I,0,N/A,22,Diversity Job Fair,Voluntarily Terminated,2015.11.7,2015.11.15,Working Hours,51,0
1008020960,"Gilles, Alex",1974.8.9,Male,US Citizen,African American,MA,2062,Married,Production,Webster Butler,Production Technician I,2,Needs Improvement,15,Diversity Job Fair,Voluntarily Terminated,2016.4.2,2019.6.25,Military,47,3
1204032927,"Girifalco, Evelyn",1980.5.8,Female,US Citizen,Hispanic,MA,2451,Single,Production,Amy Dunn,Production Technician I,4,Exceeds,16,Professional Society,Active,2018.9.29,,N/A,41,3
1408069539,"Gold, Shenice",1992.6.18,Female,US Citizen,White,MA,2451,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,17,Glassdoor,Active,2017.11.11,,N/A,29,4
1411071212,"Gonzalez, Cayo",1969.9.29,Male,US Citizen,Hispanic,MA,2108,Divorced,Production,Brannon Miller,Production Technician I,4,Exceeds,16,Diversity Job Fair,Active,2015.7.11,,N/A,52,6
1106026579,"Gordon, David",1979.5.21,Male,US Citizen,White,MA,2169,Married,Production,David Stanley,Production Technician I,3,Fully Meets,15,MBTA ads,Active,2016.7.2,,N/A,42,5
1312063675,"Goyal, Roxana",1974.10.9,Female,US Citizen,Asian,MA,1864,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,24,On-campus Recruiting,Leave of Absence,2017.8.19,,N/A,47,4
1103024859,"Gross, Paula",1983.5.21,Female,US Citizen,White,MA,2176,Divorced,Production,Kelley Spirea,Production Technician I,3,Fully Meets,14,Monster.com,Voluntarily Terminated,2015.2.21,2018.1.11,More Money,38,3
1405067064,"Handschiegl, Joanne",1977.3.23,Female,US Citizen,White,MA,2127,Married,Production,Michael Albert,Production Technician I,3,Fully Meets,24,Word of Mouth,Active,2015.11.28,,N/A,44,6
1406068241,"Harrell, Ludwick",1982.9.2,Male,US Citizen,Asian,MA,1776,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Search Engine - Google Bing Yahoo,Active,2016.5.14,,N/A,39,5
1110029602,"Harrington, Christie",1952.8.18,Female,US Citizen,White,MA,2324,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,19.75,Monster.com,Voluntarily Terminated,2016.1.9,2019.12.15,Retire,69,3
1404066622,"Harrison, Kara",1974.5.2,Female,US Citizen,White,MA,1886,Married,Production,Amy Dunn,Production Technician I,4,Exceeds,20,Monster.com,Active,2018.5.12,,N/A,47,3
1002017900,"Heitzman, Anthony",1984.1.4,Male,US Citizen,White,MA,2149,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,19,Social Networks - Facebook Twitter etc,Active,2016.8.13,,N/A,37,5
1408069882,"Ivey, Rose",1991.1.28,Female,US Citizen,White,MA,1775,Single,Production,Brannon Miller,Production Technician I,3,Fully Meets,16,Professional Society,Active,2017.8.19,,N/A,30,4
1201031438,"Jackson, Maryellen",1972.9.11,Female,US Citizen,White,MA,2081,Single,Production,David Stanley,Production Technician I,3,Fully Meets,20,Newspager/Magazine,Active,2016.11.5,,N/A,49,5
